0,1,2,3,4,5
          71,Number,W06000002,Gwynedd,Health,Total LSOAs
           1,Number,W06000002,Gwynedd,Health,Most deprived 10% LSOAs in Wales (ranks 1-191)
           3,Number,W06000002,Gwynedd,Health,Most deprived 20% LSOAs in Wales (ranks 1-382)
           7,Number,W06000002,Gwynedd,Health,Most deprived 30% LSOAs in Wales (ranks 1-574)
          16,Number,W06000002,Gwynedd,Health,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000002,Gwynedd,Education,Total LSOAs
           2,Number,W06000002,Gwynedd,Education,Most deprived 10% LSOAs in Wales (ranks 1-191)
           4,Number,W06000002,Gwynedd,Education,Most deprived 20% LSOAs in Wales (ranks 1-382)
           5,Number,W06000002,Gwynedd,Education,Most deprived 30% LSOAs in Wales (ranks 1-574)
          23,Number,W06000002,Gwynedd,Education,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000002,Gwynedd,Access to services,Total LSOAs
          21,Number,W06000002,Gwynedd,Access to services,Most deprived 10% LSOAs in Wales (ranks 1-191)
          33,Number,W06000002,Gwynedd,Access to services,Most deprived 20% LSOAs in Wales (ranks 1-382)
          40,Number,W06000002,Gwynedd,Access to services,Most deprived 30% LSOAs in Wales (ranks 1-574)
          51,Number,W06000002,Gwynedd,Access to services,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000002,Gwynedd,Housing,Total LSOAs
          27,Number,W06000002,Gwynedd,Housing,Most deprived 10% LSOAs in Wales (ranks 1-191)
          46,Number,W06000002,Gwynedd,Housing,Most deprived 20% LSOAs in Wales (ranks 1-382)
          56,Number,W06000002,Gwynedd,Housing,Most deprived 30% LSOAs in Wales (ranks 1-574)
          59,Number,W06000002,Gwynedd,Housing,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000002,Gwynedd,Community safety,Total LSOAs
           5,Number,W06000002,Gwynedd,Community safety,Most deprived 10% LSOAs in Wales (ranks 1-191)
          10,Number,W06000002,Gwynedd,Community safety,Most deprived 20% LSOAs in Wales (ranks 1-382)
          15,Number,W06000002,Gwynedd,Community safety,Most deprived 30% LSOAs in Wales (ranks 1-574)
          33,Number,W06000002,Gwynedd,Community safety,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000002,Gwynedd,Physical environment,Total LSOAs
           2,Number,W06000002,Gwynedd,Physical environment,Most deprived 10% LSOAs in Wales (ranks 1-191)
           5,Number,W06000002,Gwynedd,Physical environment,Most deprived 20% LSOAs in Wales (ranks 1-382)
          14,Number,W06000002,Gwynedd,Physical environment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          21,Number,W06000002,Gwynedd,Physical environment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000003,Conwy,WIMD,Total LSOAs
           4,Number,W06000003,Conwy,WIMD,Most deprived 10% LSOAs in Wales (ranks 1-191)
          10,Number,W06000003,Conwy,WIMD,Most deprived 20% LSOAs in Wales (ranks 1-382)
          15,Number,W06000003,Conwy,WIMD,Most deprived 30% LSOAs in Wales (ranks 1-574)
          36,Number,W06000003,Conwy,WIMD,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000003,Conwy,Income,Total LSOAs
           5,Number,W06000003,Conwy,Income,Most deprived 10% LSOAs in Wales (ranks 1-191)
           9,Number,W06000003,Conwy,Income,Most deprived 20% LSOAs in Wales (ranks 1-382)
          20,Number,W06000003,Conwy,Income,Most deprived 30% LSOAs in Wales (ranks 1-574)
          36,Number,W06000003,Conwy,Income,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000003,Conwy,Employment,Total LSOAs
           5,Number,W06000003,Conwy,Employment,Most deprived 10% LSOAs in Wales (ranks 1-191)
          10,Number,W06000003,Conwy,Employment,Most deprived 20% LSOAs in Wales (ranks 1-382)
          17,Number,W06000003,Conwy,Employment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          33,Number,W06000003,Conwy,Employment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000003,Conwy,Health,Total LSOAs
           4,Number,W06000003,Conwy,Health,Most deprived 10% LSOAs in Wales (ranks 1-191)
          12,Number,W06000003,Conwy,Health,Most deprived 20% LSOAs in Wales (ranks 1-382)
          17,Number,W06000003,Conwy,Health,Most deprived 30% LSOAs in Wales (ranks 1-574)
          31,Number,W06000003,Conwy,Health,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000003,Conwy,Education,Total LSOAs
           2,Number,W06000003,Conwy,Education,Most deprived 10% LSOAs in Wales (ranks 1-191)
           8,Number,W06000003,Conwy,Education,Most deprived 20% LSOAs in Wales (ranks 1-382)
          15,Number,W06000003,Conwy,Education,Most deprived 30% LSOAs in Wales (ranks 1-574)
          24,Number,W06000003,Conwy,Education,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000003,Conwy,Access to services,Total LSOAs
           9,Number,W06000003,Conwy,Access to services,Most deprived 10% LSOAs in Wales (ranks 1-191)
          11,Number,W06000003,Conwy,Access to services,Most deprived 20% LSOAs in Wales (ranks 1-382)
          23,Number,W06000003,Conwy,Access to services,Most deprived 30% LSOAs in Wales (ranks 1-574)
          35,Number,W06000003,Conwy,Access to services,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000003,Conwy,Housing,Total LSOAs
          10,Number,W06000003,Conwy,Housing,Most deprived 10% LSOAs in Wales (ranks 1-191)
          20,Number,W06000003,Conwy,Housing,Most deprived 20% LSOAs in Wales (ranks 1-382)
          26,Number,W06000003,Conwy,Housing,Most deprived 30% LSOAs in Wales (ranks 1-574)
          41,Number,W06000003,Conwy,Housing,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000003,Conwy,Community safety,Total LSOAs
          14,Number,W06000003,Conwy,Community safety,Most deprived 10% LSOAs in Wales (ranks 1-191)
          19,Number,W06000003,Conwy,Community safety,Most deprived 20% LSOAs in Wales (ranks 1-382)
          26,Number,W06000003,Conwy,Community safety,Most deprived 30% LSOAs in Wales (ranks 1-574)
          40,Number,W06000003,Conwy,Community safety,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000003,Conwy,Physical environment,Total LSOAs
           2,Number,W06000003,Conwy,Physical environment,Most deprived 10% LSOAs in Wales (ranks 1-191)
           4,Number,W06000003,Conwy,Physical environment,Most deprived 20% LSOAs in Wales (ranks 1-382)
          14,Number,W06000003,Conwy,Physical environment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          28,Number,W06000003,Conwy,Physical environment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          58,Number,W06000004,Denbighshire,WIMD,Total LSOAs
           7,Number,W06000004,Denbighshire,WIMD,Most deprived 10% LSOAs in Wales (ranks 1-191)
          10,Number,W06000004,Denbighshire,WIMD,Most deprived 20% LSOAs in Wales (ranks 1-382)
          15,Number,W06000004,Denbighshire,WIMD,Most deprived 30% LSOAs in Wales (ranks 1-574)
          27,Number,W06000004,Denbighshire,WIMD,Most deprived 50% LSOAs in Wales (ranks 1-958)
          58,Number,W06000004,Denbighshire,Income,Total LSOAs
           7,Number,W06000004,Denbighshire,Income,Most deprived 10% LSOAs in Wales (ranks 1-191)
          11,Number,W06000004,Denbighshire,Income,Most deprived 20% LSOAs in Wales (ranks 1-382)
          14,Number,W06000004,Denbighshire,Income,Most deprived 30% LSOAs in Wales (ranks 1-574)
          33,Number,W06000004,Denbighshire,Income,Most deprived 50% LSOAs in Wales (ranks 1-958)
          58,Number,W06000004,Denbighshire,Employment,Total LSOAs
           8,Number,W06000004,Denbighshire,Employment,Most deprived 10% LSOAs in Wales (ranks 1-191)
          10,Number,W06000004,Denbighshire,Employment,Most deprived 20% LSOAs in Wales (ranks 1-382)
          14,Number,W06000004,Denbighshire,Employment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          31,Number,W06000004,Denbighshire,Employment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          58,Number,W06000004,Denbighshire,Health,Total LSOAs
           7,Number,W06000004,Denbighshire,Health,Most deprived 10% LSOAs in Wales (ranks 1-191)
          13,Number,W06000004,Denbighshire,Health,Most deprived 20% LSOAs in Wales (ranks 1-382)
          16,Number,W06000004,Denbighshire,Health,Most deprived 30% LSOAs in Wales (ranks 1-574)
          31,Number,W06000004,Denbighshire,Health,Most deprived 50% LSOAs in Wales (ranks 1-958)
          58,Number,W06000004,Denbighshire,Education,Total LSOAs
           5,Number,W06000004,Denbighshire,Education,Most deprived 10% LSOAs in Wales (ranks 1-191)
          11,Number,W06000004,Denbighshire,Education,Most deprived 20% LSOAs in Wales (ranks 1-382)
          15,Number,W06000004,Denbighshire,Education,Most deprived 30% LSOAs in Wales (ranks 1-574)
          31,Number,W06000004,Denbighshire,Education,Most deprived 50% LSOAs in Wales (ranks 1-958)
          58,Number,W06000004,Denbighshire,Access to services,Total LSOAs
           8,Number,W06000004,Denbighshire,Access to services,Most deprived 10% LSOAs in Wales (ranks 1-191)
          13,Number,W06000004,Denbighshire,Access to services,Most deprived 20% LSOAs in Wales (ranks 1-382)
          17,Number,W06000004,Denbighshire,Access to services,Most deprived 30% LSOAs in Wales (ranks 1-574)
          24,Number,W06000004,Denbighshire,Access to services,Most deprived 50% LSOAs in Wales (ranks 1-958)
          58,Number,W06000004,Denbighshire,Housing,Total LSOAs
           7,Number,W06000004,Denbighshire,Housing,Most deprived 10% LSOAs in Wales (ranks 1-191)
          15,Number,W06000004,Denbighshire,Housing,Most deprived 20% LSOAs in Wales (ranks 1-382)
          20,Number,W06000004,Denbighshire,Housing,Most deprived 30% LSOAs in Wales (ranks 1-574)
          26,Number,W06000004,Denbighshire,Housing,Most deprived 50% LSOAs in Wales (ranks 1-958)
          58,Number,W06000004,Denbighshire,Community safety,Total LSOAs
          10,Number,W06000004,Denbighshire,Community safety,Most deprived 10% LSOAs in Wales (ranks 1-191)
          15,Number,W06000004,Denbighshire,Community safety,Most deprived 20% LSOAs in Wales (ranks 1-382)
          19,Number,W06000004,Denbighshire,Community safety,Most deprived 30% LSOAs in Wales (ranks 1-574)
          32,Number,W06000004,Denbighshire,Community safety,Most deprived 50% LSOAs in Wales (ranks 1-958)
          58,Number,W06000004,Denbighshire,Physical environment,Total LSOAs
           1,Number,W06000004,Denbighshire,Physical environment,Most deprived 10% LSOAs in Wales (ranks 1-191)
           5,Number,W06000004,Denbighshire,Physical environment,Most deprived 20% LSOAs in Wales (ranks 1-382)
          13,Number,W06000004,Denbighshire,Physical environment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          27,Number,W06000004,Denbighshire,Physical environment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          92,Number,W06000005,Flintshire,WIMD,Total LSOAs
           5,Number,W06000005,Flintshire,WIMD,Most deprived 10% LSOAs in Wales (ranks 1-191)
          11,Number,W06000005,Flintshire,WIMD,Most deprived 20% LSOAs in Wales (ranks 1-382)
          17,Number,W06000005,Flintshire,WIMD,Most deprived 30% LSOAs in Wales (ranks 1-574)
          27,Number,W06000005,Flintshire,WIMD,Most deprived 50% LSOAs in Wales (ranks 1-958)
          92,Number,W06000005,Flintshire,Income,Total LSOAs
           6,Number,W06000005,Flintshire,Income,Most deprived 10% LSOAs in Wales (ranks 1-191)
          12,Number,W06000005,Flintshire,Income,Most deprived 20% LSOAs in Wales (ranks 1-382)
          20,Number,W06000005,Flintshire,Income,Most deprived 30% LSOAs in Wales (ranks 1-574)
          36,Number,W06000005,Flintshire,Income,Most deprived 50% LSOAs in Wales (ranks 1-958)
          92,Number,W06000005,Flintshire,Employment,Total LSOAs
           3,Number,W06000005,Flintshire,Employment,Most deprived 10% LSOAs in Wales (ranks 1-191)
          10,Number,W06000005,Flintshire,Employment,Most deprived 20% LSOAs in Wales (ranks 1-382)
          18,Number,W06000005,Flintshire,Employment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          31,Number,W06000005,Flintshire,Employment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          92,Number,W06000005,Flintshire,Health,Total LSOAs
           9,Number,W06000005,Flintshire,Health,Most deprived 10% LSOAs in Wales (ranks 1-191)
          11,Number,W06000005,Flintshire,Health,Most deprived 20% LSOAs in Wales (ranks 1-382)
          16,Number,W06000005,Flintshire,Health,Most deprived 30% LSOAs in Wales (ranks 1-574)
          31,Number,W06000005,Flintshire,Health,Most deprived 50% LSOAs in Wales (ranks 1-958)
          92,Number,W06000005,Flintshire,Education,Total LSOAs
           6,Number,W06000005,Flintshire,Education,Most deprived 10% LSOAs in Wales (ranks 1-191)
          15,Number,W06000005,Flintshire,Education,Most deprived 20% LSOAs in Wales (ranks 1-382)
          20,Number,W06000005,Flintshire,Education,Most deprived 30% LSOAs in Wales (ranks 1-574)
          38,Number,W06000005,Flintshire,Education,Most deprived 50% LSOAs in Wales (ranks 1-958)
          92,Number,W06000005,Flintshire,Access to services,Total LSOAs
           4,Number,W06000005,Flintshire,Access to services,Most deprived 10% LSOAs in Wales (ranks 1-191)
          17,Number,W06000005,Flintshire,Access to services,Most deprived 20% LSOAs in Wales (ranks 1-382)
          23,Number,W06000005,Flintshire,Access to services,Most deprived 30% LSOAs in Wales (ranks 1-574)
          40,Number,W06000005,Flintshire,Access to services,Most deprived 50% LSOAs in Wales (ranks 1-958)
          92,Number,W06000005,Flintshire,Housing,Total LSOAs
           0,Number,W06000005,Flintshire,Housing,Most deprived 10% LSOAs in Wales (ranks 1-191)
           2,Number,W06000005,Flintshire,Housing,Most deprived 20% LSOAs in Wales (ranks 1-382)
           7,Number,W06000005,Flintshire,Housing,Most deprived 30% LSOAs in Wales (ranks 1-574)
          23,Number,W06000005,Flintshire,Housing,Most deprived 50% LSOAs in Wales (ranks 1-958)
          92,Number,W06000005,Flintshire,Community safety,Total LSOAs
           6,Number,W06000005,Flintshire,Community safety,Most deprived 10% LSOAs in Wales (ranks 1-191)
          16,Number,W06000005,Flintshire,Community safety,Most deprived 20% LSOAs in Wales (ranks 1-382)
          21,Number,W06000005,Flintshire,Community safety,Most deprived 30% LSOAs in Wales (ranks 1-574)
          40,Number,W06000005,Flintshire,Community safety,Most deprived 50% LSOAs in Wales (ranks 1-958)
          92,Number,W06000005,Flintshire,Physical environment,Total LSOAs
           3,Number,W06000005,Flintshire,Physical environment,Most deprived 10% LSOAs in Wales (ranks 1-191)
           9,Number,W06000005,Flintshire,Physical environment,Most deprived 20% LSOAs in Wales (ranks 1-382)
          14,Number,W06000005,Flintshire,Physical environment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          39,Number,W06000005,Flintshire,Physical environment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          84,Number,W06000006,Wrexham,WIMD,Total LSOAs
           4,Number,W06000006,Wrexham,WIMD,Most deprived 10% LSOAs in Wales (ranks 1-191)
          15,Number,W06000006,Wrexham,WIMD,Most deprived 20% LSOAs in Wales (ranks 1-382)
          24,Number,W06000006,Wrexham,WIMD,Most deprived 30% LSOAs in Wales (ranks 1-574)
          36,Number,W06000006,Wrexham,WIMD,Most deprived 50% LSOAs in Wales (ranks 1-958)
          84,Number,W06000006,Wrexham,Income,Total LSOAs
           7,Number,W06000006,Wrexham,Income,Most deprived 10% LSOAs in Wales (ranks 1-191)
          19,Number,W06000006,Wrexham,Income,Most deprived 20% LSOAs in Wales (ranks 1-382)
          26,Number,W06000006,Wrexham,Income,Most deprived 30% LSOAs in Wales (ranks 1-574)
          40,Number,W06000006,Wrexham,Income,Most deprived 50% LSOAs in Wales (ranks 1-958)
          84,Number,W06000006,Wrexham,Employment,Total LSOAs
           4,Number,W06000006,Wrexham,Employment,Most deprived 10% LSOAs in Wales (ranks 1-191)
          13,Number,W06000006,Wrexham,Employment,Most deprived 20% LSOAs in Wales (ranks 1-382)
          22,Number,W06000006,Wrexham,Employment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          38,Number,W06000006,Wrexham,Employment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          84,Number,W06000006,Wrexham,Health,Total LSOAs
          10,Number,W06000006,Wrexham,Health,Most deprived 10% LSOAs in Wales (ranks 1-191)
          22,Number,W06000006,Wrexham,Health,Most deprived 20% LSOAs in Wales (ranks 1-382)
          27,Number,W06000006,Wrexham,Health,Most deprived 30% LSOAs in Wales (ranks 1-574)
          46,Number,W06000006,Wrexham,Health,Most deprived 50% LSOAs in Wales (ranks 1-958)
          84,Number,W06000006,Wrexham,Education,Total LSOAs
           6,Number,W06000006,Wrexham,Education,Most deprived 10% LSOAs in Wales (ranks 1-191)
          11,Number,W06000006,Wrexham,Education,Most deprived 20% LSOAs in Wales (ranks 1-382)
          21,Number,W06000006,Wrexham,Education,Most deprived 30% LSOAs in Wales (ranks 1-574)
          39,Number,W06000006,Wrexham,Education,Most deprived 50% LSOAs in Wales (ranks 1-958)
          84,Number,W06000006,Wrexham,Access to services,Total LSOAs
           5,Number,W06000006,Wrexham,Access to services,Most deprived 10% LSOAs in Wales (ranks 1-191)
          14,Number,W06000006,Wrexham,Access to services,Most deprived 20% LSOAs in Wales (ranks 1-382)
          19,Number,W06000006,Wrexham,Access to services,Most deprived 30% LSOAs in Wales (ranks 1-574)
          35,Number,W06000006,Wrexham,Access to services,Most deprived 50% LSOAs in Wales (ranks 1-958)
          84,Number,W06000006,Wrexham,Housing,Total LSOAs
           1,Number,W06000006,Wrexham,Housing,Most deprived 10% LSOAs in Wales (ranks 1-191)
           8,Number,W06000006,Wrexham,Housing,Most deprived 20% LSOAs in Wales (ranks 1-382)
          18,Number,W06000006,Wrexham,Housing,Most deprived 30% LSOAs in Wales (ranks 1-574)
          42,Number,W06000006,Wrexham,Housing,Most deprived 50% LSOAs in Wales (ranks 1-958)
          84,Number,W06000006,Wrexham,Community safety,Total LSOAs
          13,Number,W06000006,Wrexham,Community safety,Most deprived 10% LSOAs in Wales (ranks 1-191)
          23,Number,W06000006,Wrexham,Community safety,Most deprived 20% LSOAs in Wales (ranks 1-382)
          34,Number,W06000006,Wrexham,Community safety,Most deprived 30% LSOAs in Wales (ranks 1-574)
          50,Number,W06000006,Wrexham,Community safety,Most deprived 50% LSOAs in Wales (ranks 1-958)
          84,Number,W06000006,Wrexham,Physical environment,Total LSOAs
           0,Number,W06000006,Wrexham,Physical environment,Most deprived 10% LSOAs in Wales (ranks 1-191)
           1,Number,W06000006,Wrexham,Physical environment,Most deprived 20% LSOAs in Wales (ranks 1-382)
           5,Number,W06000006,Wrexham,Physical environment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          21,Number,W06000006,Wrexham,Physical environment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          45,Number,W06000008,Ceredigion,WIMD,Total LSOAs
           1,Number,W06000008,Ceredigion,WIMD,Most deprived 10% LSOAs in Wales (ranks 1-191)
           1,Number,W06000008,Ceredigion,WIMD,Most deprived 20% LSOAs in Wales (ranks 1-382)
           4,Number,W06000008,Ceredigion,WIMD,Most deprived 30% LSOAs in Wales (ranks 1-574)
          27,Number,W06000008,Ceredigion,WIMD,Most deprived 50% LSOAs in Wales (ranks 1-958)
          45,Number,W06000008,Ceredigion,Income,Total LSOAs
           1,Number,W06000008,Ceredigion,Income,Most deprived 10% LSOAs in Wales (ranks 1-191)
           2,Number,W06000008,Ceredigion,Income,Most deprived 20% LSOAs in Wales (ranks 1-382)
           5,Number,W06000008,Ceredigion,Income,Most deprived 30% LSOAs in Wales (ranks 1-574)
          15,Number,W06000008,Ceredigion,Income,Most deprived 50% LSOAs in Wales (ranks 1-958)
          45,Number,W06000008,Ceredigion,Employment,Total LSOAs
           1,Number,W06000008,Ceredigion,Employment,Most deprived 10% LSOAs in Wales (ranks 1-191)
           2,Number,W06000008,Ceredigion,Employment,Most deprived 20% LSOAs in Wales (ranks 1-382)
           4,Number,W06000008,Ceredigion,Employment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          13,Number,W06000008,Ceredigion,Employment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          45,Number,W06000008,Ceredigion,Health,Total LSOAs
           0,Number,W06000008,Ceredigion,Health,Most deprived 10% LSOAs in Wales (ranks 1-191)
           1,Number,W06000008,Ceredigion,Health,Most deprived 20% LSOAs in Wales (ranks 1-382)
           5,Number,W06000008,Ceredigion,Health,Most deprived 30% LSOAs in Wales (ranks 1-574)
          11,Number,W06000008,Ceredigion,Health,Most deprived 50% LSOAs in Wales (ranks 1-958)
          45,Number,W06000008,Ceredigion,Education,Total LSOAs
           0,Number,W06000008,Ceredigion,Education,Most deprived 10% LSOAs in Wales (ranks 1-191)
           0,Number,W06000008,Ceredigion,Education,Most deprived 20% LSOAs in Wales (ranks 1-382)
           1,Number,W06000008,Ceredigion,Education,Most deprived 30% LSOAs in Wales (ranks 1-574)
           8,Number,W06000008,Ceredigion,Education,Most deprived 50% LSOAs in Wales (ranks 1-958)
          45,Number,W06000008,Ceredigion,Access to services,Total LSOAs
          20,Number,W06000008,Ceredigion,Access to services,Most deprived 10% LSOAs in Wales (ranks 1-191)
          29,Number,W06000008,Ceredigion,Access to services,Most deprived 20% LSOAs in Wales (ranks 1-382)
          34,Number,W06000008,Ceredigion,Access to services,Most deprived 30% LSOAs in Wales (ranks 1-574)
          38,Number,W06000008,Ceredigion,Access to services,Most deprived 50% LSOAs in Wales (ranks 1-958)
          45,Number,W06000008,Ceredigion,Housing,Total LSOAs
           8,Number,W06000008,Ceredigion,Housing,Most deprived 10% LSOAs in Wales (ranks 1-191)
          19,Number,W06000008,Ceredigion,Housing,Most deprived 20% LSOAs in Wales (ranks 1-382)
          26,Number,W06000008,Ceredigion,Housing,Most deprived 30% LSOAs in Wales (ranks 1-574)
          34,Number,W06000008,Ceredigion,Housing,Most deprived 50% LSOAs in Wales (ranks 1-958)
          45,Number,W06000008,Ceredigion,Community safety,Total LSOAs
           3,Number,W06000008,Ceredigion,Community safety,Most deprived 10% LSOAs in Wales (ranks 1-191)
           4,Number,W06000008,Ceredigion,Community safety,Most deprived 20% LSOAs in Wales (ranks 1-382)
